model_name,examples,avg_rouge1,avg_rouge2,avg_rouge_l,avg_bleu,avg_chrf,avg_tfidf_similarity,avg_bertscore_f1,error_count,input_file
Qwen/Qwen2.5-1.5B-Instruct,100,0.2299,0.1092,0.1956,0.077,0.2472,0.1359,0.8548,0,results/qwen_1_5b_baseline_outputs_100.csv
meta-llama/Llama-3.2-3B-Instruct,100,0.2789,0.1515,0.2392,0.1039,0.3159,0.1969,0.8707,0,results/llama_3_2_3b_baseline_outputs_100.csv
meta-llama/Llama-3.2-3B-Instruct+LoRA,100,0.6285,0.5233,0.5951,0.5433,0.6591,0.5408,0.9389,0,results/llama_3_2_3b_finetuned_outputs_100.csv
