model_name,examples,avg_rouge1,avg_rouge2,avg_rouge_l,avg_bleu,avg_chrf,avg_tfidf_similarity,avg_bertscore_f1,error_count,input_file
Qwen/Qwen2.5-1.5B-Instruct,1500,0.2609,0.1271,0.2126,0.0688,0.281,0.1648,0.8667,0,results\qwen_1_5b_baseline_outputs_1500.csv
meta-llama/Llama-3.2-3B-Instruct,1500,0.2896,0.1597,0.2506,0.1002,0.2802,0.1979,0.874,0,results\llama_3_2_3b_baseline_outputs_1500.csv
meta-llama/Llama-3.2-3B-Instruct+LoRA,1500,0.6186,0.5163,0.5874,0.472,0.6038,0.5419,0.9369,0,results\llama_3_2_3b_finetuned_outputs_1500.csv
